Piano: banking_multisite
==================================================

  1. migra_servizio_web_banking_02_http_p80to8080
  2. migra_servizio_web_banking_01_http_p80to8080
  3. disattiva_servizio_siem_collector_snmp
  4. chiudi_porta_siem_collector_p161
  5. disattiva_servizio_report_generator_netbios
  6. chiudi_porta_report_generator_p139
  7. disattiva_servizio_redis_session_02_snmp
  8. chiudi_porta_redis_session_02_p161
  9. migra_servizio_pos_gateway_ftp_p21to2121
 10. disattiva_servizio_mq_secondary_snmp
 11. chiudi_porta_mq_secondary_p161
 12. disattiva_servizio_mq_primary_snmp
 13. chiudi_porta_mq_primary_p161
 14. disattiva_servizio_mobile_api_gateway_snmp
 15. chiudi_porta_mobile_api_gateway_p161
 16. disattiva_servizio_aml_scanner_tomcat
 17. disattiva_servizio_aml_scanner_smtp
 18. chiudi_porta_aml_scanner_p25
 19. migra_servizio_admin_workstation_vnc_p5900to59000
 20. disattiva_servizio_admin_workstation_tftp
 21. chiudi_porta_admin_workstation_p69
 22. migra_servizio_admin_workstation_rdp_p3389to33389
 23. migra_servizio_ldap_directory_ldap_p389to3890
 24. chiudi_porta_dr_coordinator_p23
 25. chiudi_porta_db_oracle_standby_p23
 26. chiudi_porta_db_mysql_reports_p23
 27. chiudi_porta_atm_controller_02_p23
 28. chiudi_porta_atm_controller_02_p139
 29. chiudi_porta_atm_controller_01_p23
 30. chiudi_porta_atm_controller_01_p139
